Date	Close	Open	High	Low	Volume
2011-01-24	78.03	78.88	79.18	77.66	6907223
2011-01-25	79.07	77.86	79.13	77.64	3051282
2011-01-26	78.39	78.94	79.0	77.52	2835819
2011-01-27	79.1	79.96	81.0	78.57	3046642
2011-01-28	78.2	79.34	80.5	77.79	4376587
2011-01-31	79.6	78.88	79.63	78.59	2265987
2011-02-01	80.59	79.68	81.0	79.63	2685624
2011-02-02	81.07	80.31	81.66	80.11	1933131
2011-02-03	80.72	81.01	81.44	80.3799	3771338
2011-02-04	80.71	80.9	80.93	80.21	3479253
2011-02-07	81.52	80.7	81.74	80.56	3884321
2011-02-08	81.4	81.49	81.85	81.13	1856661
2011-02-09	82.27	81.31	82.4299	81.07	1757944
2011-02-10	81.89	81.85	82.145	81.35	1906657
2011-02-11	81.69	81.57	81.92	81.14	2613774
2011-02-14	80.92	81.77	81.99	80.1	1788850
2011-02-15	81.48	80.73	81.73	80.22	1902868
2011-02-16	81.28	81.39	81.46	80.54	3281117
2011-02-17	81.9	81.1	82.09	80.97	1953375
2011-02-18	81.81	81.95	82.09	81.42	1522770
2011-02-22	80.18	81.32	81.42	79.98	1808384
2011-02-23	80.14	80.3	80.78	79.62	1991150
2011-02-24	80.22	80.14	80.72	79.88	1504173
2011-02-25	80.11	79.69	80.28	79.03	1982220
2011-02-28	79.16	80.51	80.58	79.01	2430220
2011-03-01	79.12	79.47	80.05	78.8	1960601
2011-03-02	79.46	79.31	79.88	78.87	1629532
2011-03-03	80.78	79.84	80.89	79.84	1692478
2011-03-04	79.85	80.7	80.8	78.9025	2090079
2011-03-07	79.3	79.94	80.5	78.95	1864479
2011-03-08	80.27	79.32	80.52	79.32	1881243
2011-03-09	80.48	80.2	80.79	79.96	2156642
2011-03-10	79.04	79.74	80.19	78.82	1931805
2011-03-11	80.47	79.08	80.78	78.83	2444860
2011-03-14	80.47	79.74	80.72	79.59	5269999
2011-03-15	79.68	79.42	80.2	78.42	2409078
2011-03-16	78.41	79.28	80.1	78.2	2595878
2011-03-17	80.41	79.79	80.98	79.45	2920794
